DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
Restaurant licences,HOI WON TEEN,"PORTION OF 2/F, 20 TAK FUNG ST, HUNG HOM, KOWLOON CITY, KOWLOON",22.302697,114.1923311
Restaurant licences,SKY LIGHT COMPANY,"1/F, 67C WATERLOO ROAD, HOMANTIN, KOWLOON CITY, KOWLOON",22.3181523,114.1748878
Restaurant licences,Mei King Restaurant,"G/F, 41 MEI KING STREET, TOKWAWAN, KOWLOON CITY, KOWLOON",22.3168715,114.1908132
Restaurant licences,HUNG HING DUMPLING,"G/F, NO.7 ANHUI ST., TOKWAWAN, KOWLOON CITY, KOWLOON",22.314846,114.187271
Restaurant licences,THAI UDON TASTE,"G/F, NGA TSIN WAI BLDG, 36A NGA TSIN WAI RD, KOWLOON CITY, KOWLOON",22.3289683,114.1916814
Restaurant licences,GOLD ORCHID THAI RESTAURANT,"G/F, 10 LUNG KONG RD, KOWLOON CITY, KOWLOON",22.3282418,114.1905344
Restaurant licences,INDIAN CURRY KING,"SHOP C, G/F, 24-28 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",22.3292,114.191128
Restaurant licences,CAMBO PHO,"G/F, 27 NGA TSIN LONG RD, KOWLOON CITY, KOWLOON",22.328685,114.189157
Restaurant licences,HAPPY TOGETHER HOTPOT,"G/F, 70-72 TAK KU LING RD, KOWLOON CITY, KOWLOON",22.3300677,114.191708
Restaurant licences,Golden Thai Food,"SHOP C1, G/F, WHAMPOA ESTATE III, 43 MAN TAI ST, HUNGHOM, KOWLOON CITY, KOWLOON",22.3065889,114.1885115
Restaurant licences,Silver Star Restaurant,"G/F, 3 SHEUNG HEUNG ROAD, TOKWAWAN, KOWLOON CITY, KOWLOON",22.3191013,114.187836
Restaurant licences,Crab Fairy (Kowloon City Branch),"G/F, 4 LUNG KONG ROAD, KOWLOON CITY, KOWLOON",22.328379,114.190549
Restaurant licences,Shung Hing Restaurant,"G/F, 56-58 NGA TSIN WAI ROAD, KOWLOON CITY, KOWLOON",22.329065,114.190691
Restaurant licences,LAO D FANG,"G/F, BLOCK A, HANG CHIEN COURT, 92 MEI KING STREET, TOKWAWAN, KOWLOON CITY, KOWLOON",22.3175949,114.1917645
Restaurant licences,FU WAH RESTAURANT,"SHOP 10-12, G/F, TOWER A, HUNG HOM COMM.CENTRE, 37-39 MA TAU WAI RD, HUNGHOM, KOWLOON CITY, KOWLOON",22.310346,114.1880584
Restaurant licences,BILLY BOOZER,"SHOPS 20-23, G/F, 320 JUNCTION ROAD, KOWLOON CITY, KOWLOON",22.3395633,114.1808442
Restaurant licences,HOME TURF,"G/F, 6A PEACE AVENUE, KOWLOON CITY, KOWLOON",22.3191886,114.1738698
Restaurant licences,GOLDEN THAI RESTAURANT,"G/F, 24 LUNG KONG ROAD, KOWLOON CITY, KOWLOON",22.3294192,114.1905542
Restaurant licences,GOTEBORG,"G/F. & C/L., 440 MA TAU WAI RD., TOKWAWAN, KOWLOON CITY, KOWLOON",22.3196489,114.1873269
Restaurant licences,Vesta Restaurant,"G/F, 59 TAM KUNG ROAD, TOKWAWAN, KOWLOON CITY, KOWLOON",22.3224035,114.1882571
Restaurant licences,TAI FAT RESTAURANT,"G/F, 8 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",22.3285441,114.1911068
Restaurant licences,PHO THANH NHA,"G/F, 69-B2 WATERLOO ROAD, HO MAN TIN, KOWLOON",22.3184603,114.1751703
Restaurant licences,Hey Hot Pot,"G/F, 15 SUNG KIT ST, KOWLOON CITY, KOWLOON",22.3122041,114.1886506
Restaurant licences,EASTAR,"SHOP B, G/F, 31-33 HAU WONG RD, KOWLOON CITY, KOWLOON",22.3285918,114.1885657
Restaurant licences,FAME DELI,"G/F, 47 SUNG KIT ST, HUNGHOM, KOWLOON CITY, KOWLOON",22.3112885,114.1886974
Restaurant licences,Golden Orchid Thai Restaurant,"G/F, 12 LUNG KONG ROAD, KOWLOON CITY, KOWLOON",22.328582,114.190534
Restaurant licences,WONG CHUN CHUN THAI RESTAURANT,"BASEMENT, G/F & 1/F, BELSHINE CENTRE, 23 TAK KU LING ROAD, KOWLOON",22.3290985,114.1913935
Restaurant licences,THAI HOT,"G/F, 30-32 NAM KOK RD, KOWLOON CITY, KOWLOON",22.3290813,114.1900554
Restaurant licences,RC RESTAURANT,"G/F, 2B HAU WONG ROAD, KOWLOON CITY, KOWLOON",22.3278079,114.1888711
